operationId,tags,url
addTypeDefGallery,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types
findTypeDefsByCategory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/typedefs/by-category
addTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/typedef
reIdentifyTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/typedef/{originalTypeDefGUID}/identifier
deleteTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/typedef/{guid}/delete
updateTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/typedef/update
verifyTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/typedef/compatibility
findAttributeTypeDefsByCategory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/attribute-typedefs/by-category
addAttributeTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/attribute-typedef
reIdentifyAttributeTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/attribute-typedef/{originalAttributeTypeDefGUID}/identifier
deleteAttributeTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/attribute-typedef/{guid}/delete
verifyAttributeTypeDef,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/types/attribute-typedef/compatibility
saveInstanceReferenceCopies,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances
findRelationships,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships
saveRelationshipReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/reference-copy
refreshRelationshipReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/reference-copy/{relationshipGUID}/refresh
purgeRelationshipReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/reference-copy/{relationshipGUID}/purge
purgeRelationshipReferenceCopy_1,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/reference-copy/purge
deleteRelationshipReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/reference-copy/delete
findRelationshipsByHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/history
findRelationshipsByProperty,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/by-property
findRelationshipsByPropertyHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/by-property/history
findRelationshipsByPropertyValue,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/by-property-value
findRelationshipsByPropertyValueHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationships/by-property-value/history
addRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship
reTypeRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{relationshipGUID}/type
updateRelationshipProperties,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{relationshipGUID}/properties
reIdentifyRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{relationshipGUID}/identity
reHomeRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{relationshipGUID}/home/{homeMetadataCollectionId}
deleteRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{obsoleteRelationshipGUID}/delete
getRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{guid}/history
getRelationshipHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{guid}/history/all
purgeRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/{deletedRelationshipGUID}/purge
addExternalRelationship,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/relationship/external
addEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity
deleteEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{obsoleteEntityGUID}/delete
getEntityDetail,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{guid}/history
getEntityDetailHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{guid}/history/all
getClassificationHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{guid}/classification/{classificationName}/history/all
reTypeEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/type
getRelationshipsForEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/relationships
getRelationshipsForEntityHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/relationships/history
updateEntityProperties,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/properties
reIdentifyEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/identity
reHomeEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/home/{homeMetadataCollectionId}
getHomeClassifications,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/home-classifications/history
classifyEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/classification/{classificationName}
updateEntityClassification,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/classification/{classificationName}/properties
classifyEntity_1,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/classification/{classificationName}/detailed
declassifyEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{entityGUID}/classification/{classificationName}/delete
purgeEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/{deletedEntityGUID}/purge
addExternalEntity,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/external
classifyEntity_2,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/classification/{classificationName}
updateEntityClassification_1,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/classification/{classificationName}/properties
classifyEntity_3,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/classification/{classificationName}/detailed
declassifyEntity_1,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity/classification/{classificationName}/delete
addEntityProxy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entity-proxy
findEntities,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities
saveEntityReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/reference-copy
refreshEntityReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/reference-copy/{entityGUID}/refresh
purgeEntityReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/reference-copy/{entityGUID}/purge
purgeEntityReferenceCopy_1,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/reference-copy/purge
deleteEntityReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/reference-copy/delete
findEntitiesByHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/history
saveClassificationReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/classifications/reference-copy
purgeClassificationReferenceCopy,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/classifications/reference-copy/purge
findEntitiesByProperty,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/by-property
findEntitiesByPropertyHistory,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/by-property/history
findEntitiesByPropertyValue,Repository Services - Local Repository,/servers/{serverName}/open-metadata/repository-services/users/{userId}/instances/entities/by-property-value
